handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_20595b8a-2973-42d1-7521-1be79e0568f4,Product,Cap 78-C,,ab3cdc_5a54ea648ff24b5ca5e718c0dbe75a2c~mv2.png;ab3cdc_4da6fb404471497fb31fef81d022493e~mv2.png;ab3cdc_ba025fa4b13a4da593d6798a497b252e~mv2.png;ab3cdc_c9382b306a774bfdadd5b30e9cdeb132~mv2.png;ab3cdc_274ac28c2a2240b6a891f7f2345a3574~mv2.png;ab3cdc_6e8bd045628d4532bf865dd74000a182~mv2.png,Caps,,,78.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_71264260-eb0a-f896-3aad-575a388bdab9,Product,Cap 78-D,,ab3cdc_1dada7746ed64caf8bade04f139bcffe~mv2.png;ab3cdc_ec84e4c4940b49e78a4e0e5bdc71bbfa~mv2.png;ab3cdc_538aebba2fdb457284655afe097b8d69~mv2.png;ab3cdc_d938ca9eab1c4cac9773c0a4fd88673d~mv2.png;ab3cdc_d3df1579f20e405c8c3add5814996ba3~mv2.png,Caps;Top Sellers,,,78.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a5440532-3f87-6ea9-c946-2b69e1135164,Product,Cap 80-E,,ab3cdc_15eeb31b17f149e6a79eab44ce4cf9b4~mv2.png;ab3cdc_6981eda120d84c34965a5a9464b3bbf3~mv2.png;ab3cdc_74e3e4a9a16e485d8f7feb95b3748f47~mv2.png;ab3cdc_9492fa22cab347559d38d6e6f6e623df~mv2.png;ab3cdc_dc60a0a74a5b4a4fa3cd3976abcf803c~mv2.png;ab3cdc_17568b7f66e946f288358c33b1457c14~mv2.png,Caps,,,80.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_dead61e7-39f9-09f9-53ab-2d153af7ac05,Product,Woollen Caps For New Born,,ab3cdc_c1afdc250bc74a55b9920565a824a7d1~mv2.png,Caps,,,110.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4f63261d-ad0b-d21a-539e-b99b9ac80bb0,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_c6150bcf7a5d4e669c651b86458ae453,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3b97e08b-c900-5e5a-795b-d9040f51f84a,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_ce66eac74f144cdb83fa4c5a92149fe3,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_79f0c40a-4a17-1bd2-ab3b-36fda4cb4146,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_e8ecdbe8127043e6a7dcd3bad753a9cf~mv2.png,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4cfb385f-c109-b620-94b8-873cbfedd2cf,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_4c1fe04d001b45abbd200c5cfcb105d5~mv2.png,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7b2bc39b-151e-b3dc-d9a4-8f6127eec758,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_a57a78d9bc2e4b85acb0f1316f7d59b8~mv2.png,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef0d883f-c4b2-ff1d-720f-256899cd3f81,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_b22be8ad98e7442fa72abdc44a6c623e~mv2.png,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9684a043-6e2c-f885-bd75-14da6a9dd687,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_5eb2cf5f7504430dadb43f0e7ae2aa18~mv2.png,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_65b2c02e-670a-6e8b-e1a0-10fda4fd6abc,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_d8cef1ce951245cd90dafcf3cd60d2ca~mv2.png,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_351a3860-2626-d1e4-3bed-f7a6c7cb4618,Product,Woollen Knited Caps,"Feel the cozy warmth with our high-quality Ap Oswal wool caps. Super soft, they protect newborns and are a must-have for parents. Choose Ap Oswal for quality and care.",ab3cdc_ba05b4bb748a4e278b36f0b46c402277~mv2.jpg,Caps,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef4fed2a-cd8b-4325-aca6-d010e3c27259,Product,Knitted Baby Cap,"Stylish knitted cap made from soft wool, ideal for newborns.",ab3cdc_d9e61ae104624940ae0c6d00a033639c~mv2.png,Caps,,,30.0,,false,PERCENT,0.0,InStock,,,Color,DROP_DOWN,Red;Green;White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
